video_id,label,original_duration_minutes,summary_duration_minutes,summary_words,original_words,length_ratio_pct,bertscore_precision,bertscore_recall,bertscore_f1,llm_fluency,llm_coverage
v_100caf7b43f597f5e085621520f4501f,short,45,15.2396,3560,9080,39.21,0.882434,0.884673,0.883552,8,9
v_100caf7b43f597f5e085621520f4501f,medium,45,15.4403,3566,9080,39.27,0.882434,0.884673,0.883552,8,7
v_100caf7b43f597f5e085621520f4501f,long,45,17.5681,4065,9080,44.77,0.882434,0.884673,0.883552,7,6
v_1a5de1af2f67f97c38b9b53d97bdd866,short,20,9.0295,1745,3928,44.42,0.898827,0.90088,0.899852,8,7
v_1a5de1af2f67f97c38b9b53d97bdd866,medium,20,10.1092,1953,3928,49.72,0.898827,0.90088,0.899852,8,7
v_1a5de1af2f67f97c38b9b53d97bdd866,long,20,11.0837,2127,3928,54.15,0.898827,0.90088,0.899852,8,7
v_1b02997698c299c9225410dadef2d752,short,9,5.6663,916,1399,65.48,0.917805,0.918559,0.918182,9,9
v_1b02997698c299c9225410dadef2d752,medium,9,6.7675,1074,1399,76.77,0.917805,0.918559,0.918182,8,9
v_1b02997698c299c9225410dadef2d752,long,9,6.7675,1074,1399,76.77,0.917805,0.918559,0.918182,9,8
v_5b21820803a7d3e5ddbd451f7292c9b8,short,9,5.6109,1090,1730,63.01,0.919591,0.916673,0.91813,8,9
v_5b21820803a7d3e5ddbd451f7292c9b8,medium,9,5.6109,1090,1730,63.01,0.919591,0.916673,0.91813,7,8
v_5b21820803a7d3e5ddbd451f7292c9b8,long,9,5.6109,1090,1730,63.01,0.919591,0.916673,0.91813,9,9
v_f187878000d85e89715f9ec2fca64308,short,58,13.4484,2937,12370,23.74,0.835897,0.841741,0.838809,5,6
v_f187878000d85e89715f9ec2fca64308,medium,58,15.7123,3451,12370,27.9,0.835897,0.841741,0.838809,4,6
v_f187878000d85e89715f9ec2fca64308,long,58,18.4146,4017,12370,32.47,0.836511,0.843191,0.839838,6,7
